Time_seconds,Time_hours,Total_Cost,Nominal_Cost,Cost_First,Best_Cost
0,0.0,0.932,0.932,0.932,0.724
1,0.0002777777777777778,0.979,0.879,0.951,0.739
2,0.0005555555555555556,0.877,0.877,0.942,0.729
3,0.0008333333333333334,0.867,0.867,0.937,0.721
4,0.0011111111111111111,0.868,0.868,0.942,0.758
5,0.001388888888888889,1.037,0.937,0.937,0.702
6,0.0016666666666666668,0.965,0.865,0.944,0.733
7,0.0019444444444444444,0.854,0.854,0.924,0.725
8,0.0022222222222222222,0.869,0.869,0.934,0.748
9,0.0025,0.854,0.854,0.928,0.719
10,0.002777777777777778,0.971,0.871,0.941,0.738
11,0.0030555555555555557,0.87,0.87,0.93,0.742
12,0.0033333333333333335,0.954,0.854,0.938,0.724
13,0.003611111111111111,0.865,0.865,0.928,0.724
14,0.0038888888888888888,0.86,0.86,0.92,0.734
15,0.004166666666666667,0.868,0.868,0.937,0.732
16,0.0044444444444444444,0.952,0.852,0.919,0.719
17,0.004722222222222222,0.889,0.789,0.928,0.732
18,0.005,0.788,0.788,0.933,0.718
19,0.005277777777777778,0.822,0.822,0.946,0.759
20,0.005555555555555556,0.947,0.847,0.924,0.723
21,0.005833333333333334,0.94,0.84,0.92,0.707
22,0.006111111111111111,0.971,0.871,0.942,0.74
23,0.006388888888888889,0.975,0.875,0.942,0.734
24,0.006666666666666667,1.04,0.94,0.94,0.749
25,0.006944444444444444,0.93,0.93,0.93,0.718
26,0.007222222222222222,0.948,0.848,0.932,0.711
27,0.0075,0.952,0.852,0.926,0.71
28,0.0077777777777777776,0.946,0.846,0.925,0.731
29,0.008055555555555555,0.956,0.856,0.929,0.739
30,0.008333333333333333,0.972,0.872,0.934,0.743
31,0.008611111111111111,0.971,0.871,0.939,0.723
32,0.008888888888888889,0.962,0.862,0.929,0.746
33,0.009166666666666667,1.038,0.938,0.938,0.722
34,0.009444444444444445,0.968,0.868,0.937,0.73
35,0.009722222222222222,0.868,0.868,0.929,0.723
36,0.01,0.985,0.885,0.941,0.723
37,0.010277777777777778,0.961,0.861,0.941,0.753
38,0.010555555555555556,0.862,0.862,0.937,0.759
39,0.010833333333333334,0.857,0.857,0.939,0.724
40,0.011111111111111112,0.843,0.843,0.929,0.694
41,0.01138888888888889,0.853,0.853,0.931,0.726
42,0.011666666666666667,0.873,0.873,0.932,0.732
43,0.011944444444444445,0.859,0.859,0.94,0.735
44,0.012222222222222223,0.873,0.873,0.942,0.723
45,0.0125,0.874,0.874,0.937,0.738
46,0.012777777777777779,0.858,0.858,0.928,0.736
47,0.013055555555555556,0.953,0.853,0.932,0.738
48,0.013333333333333334,0.942,0.842,0.918,0.717
49,0.01361111111111111,0.874,0.874,0.943,0.742
50,0.013888888888888888,0.96,0.86,0.933,0.727
51,0.014166666666666666,0.941,0.841,0.924,0.722
52,0.014444444444444444,0.974,0.874,0.941,0.728
53,0.014722222222222222,0.977,0.877,0.941,0.734
54,0.015,0.972,0.872,0.937,0.74
55,0.015277777777777777,0.95,0.85,0.923,0.718
56,0.015555555555555555,0.848,0.848,0.928,0.721
57,0.015833333333333335,0.876,0.876,0.939,0.736
58,0.01611111111111111,0.867,0.867,0.927,0.739
59,0.01638888888888889,0.852,0.852,0.927,0.706
60,0.016666666666666666,0.866,0.866,0.931,0.727
61,0.016944444444444446,0.859,0.859,0.929,0.718
62,0.017222222222222222,0.842,0.842,0.922,0.709
63,0.0175,0.858,0.858,0.934,0.73
64,0.017777777777777778,0.837,0.837,0.934,0.711
65,0.018055555555555554,0.863,0.863,0.938,0.732
66,0.018333333333333333,0.857,0.857,0.934,0.731
67,0.01861111111111111,0.848,0.848,0.928,0.71
68,0.01888888888888889,0.967,0.867,0.936,0.744
69,0.019166666666666665,0.959,0.859,0.928,0.731
70,0.019444444444444445,0.867,0.867,0.936,0.733
71,0.01972222222222222,1.032,0.932,0.932,0.737
72,0.02,0.96,0.86,0.93,0.729
